序号,省份,博物馆名称,性质,质量等级,是否免费开放,藏品数（件/套）,珍贵文物（件/套）,展览（个）,教育活动（次）,参观人数（万人次）
62,安徽省,渡江战役总前委孙家圩子旧址纪念馆,文化文物系统国有博物馆,未定级,是,104,0,1,0,0.4
63,安徽省,肥东县博物馆,文化文物系统国有博物馆,二级,是,3212,291,8,38,6.69
64,安徽省,肥东县长临河民俗文化馆,非国有博物馆,未定级,是,1300,0,7,0,14.8367
65,安徽省,肥西三河民俗博物馆,非国有博物馆,未定级,否,1100,0,4,0,9
66,安徽省,冯玉祥旧居,文化文物系统国有博物馆,未定级,是,3,0,8,44,3.6582
67,安徽省,凤阳县博物馆,文化文物系统国有博物馆,二级,是,1214,33,13,48,18.5749
68,安徽省,阜南县博物馆,文化文物系统国有博物馆,未定级,是,0,0,0,0,0
69,安徽省,阜阳“四·九”暴动旧址纪念馆,文化文物系统国有博物馆,未定级,是,30,0,1,560,10.159
70,安徽省,阜阳市博物馆,文化文物系统国有博物馆,一级,是,8100,2621,42,130,74.914
71,安徽省,固镇县博物馆,文化文物系统国有博物馆,三级,是,3371,203,12,31,8.5
72,安徽省,广德市博物馆,文化文物系统国有博物馆,三级,是,1580,417,6,84,13.8344
73,安徽省,广德市皖南朝晖竹木雕刻博物馆,非国有博物馆,未定级,是,365,0,3,1,1.1042
74,安徽省,国安木雕文化艺术博物馆,非国有博物馆,未定级,否,1099,0,3,40,2
75,安徽省,含山博物馆,文化文物系统国有博物馆,三级,是,1005,335,10,105,9.2
76,安徽省,合肥市巢湖艺术馆,非国有博物馆,未定级,是,2600,0,4,0,1.1356
77,安徽省,合肥市大道酒博物馆,非国有博物馆,未定级,是,41,0,4,0,0.03
78,安徽省,合肥市惠民票证博物馆,非国有博物馆,未定级,是,24345,0,6,0,3.7834
79,安徽省,合肥市赖少其艺术馆,文化文物系统国有博物馆,未定级,是,664,0,10,38,7.563
80,安徽省,合肥市李鸿章故居陈列馆,文化文物系统国有博物馆,三级,是,408,157,9,130,56.8692
81,安徽省,合肥市庐州民间木艺博物馆,非国有博物馆,未定级,是,585,0,1,12,0.0852
82,安徽省,合肥市勤利书画博物馆,非国有博物馆,未定级,是,312,0,4,3,2.1732
83,安徽省,合肥子木园博物馆,非国有博物馆,未定级,是,2128,0,4,0,0.0598
84,安徽省,和县博物馆（刘禹锡纪念馆）,文化文物系统国有博物馆,未定级,是,465,384,3,31,13.0342
85,安徽省,红二十八军军政旧址纪念馆,文化文物系统国有博物馆,三级,是,315,0,8,64,22.9066
86,安徽省,红军中央独立第二师司令部旧址纪念馆,文化文物系统国有博物馆,未定级,是,296,0,8,64,3.9624
87,安徽省,华佗中医药文化博物馆,文化文物系统国有博物馆,未定级,是,345,0,3,60,18.6798
88,安徽省,怀宁县博物馆,文化文物系统国有博物馆,三级,是,1400,414,9,34,4.8385
89,安徽省,怀远县博物馆,文化文物系统国有博物馆,三级,是,924,168,7,46,10.3776
90,安徽省,淮北市博物馆,文化文物系统国有博物馆,一级,是,7087,1428,52,198,18.9496
91,安徽省,淮北市矿山博物馆,文化文物系统国有博物馆,未定级,是,749,0,18,94,5.8341
